id,drive_file_id,name,mime_type,size,created_time,modified_time,web_view_link,is_shared,synced_at
2830,1YygXzjiA2V-sE4hrn6xLmATOix0Ird9A,P1059422.jpg,image/jpeg,9615536,2025-05-23 02:25:27.552,2025-05-23 02:25:28.227,https://drive.google.com/file/d/1YygXzjiA2V-sE4hrn6xLmATOix0Ird9A/view?usp=drivesdk,t,2025-10-06 14:29:52.219459
3277,16zJEMfb_t8SIh3-RNPwlf9CiWzWzsSTz,Jodi Pinson Bio.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,288111,2025-04-29 16:11:56.224,2025-04-29 16:02:42,https://docs.google.com/presentation/d/16zJEMfb_t8SIh3-RNPwlf9CiWzWzsSTz/edit?usp=drivesdk&ouid=104838235178671148782&rtpof=true&sd=true,t,2025-10-06 14:30:53.109329
4726,1jvJ5n5LieAsTxqeeluxoZXzeln-cooMy,Website,application/vnd.google-apps.folder,0,2024-05-31 12:09:27.879,2024-05-31 12:09:27.879,https://drive.google.com/drive/folders/1jvJ5n5LieAsTxqeeluxoZXzeln-cooMy,t,2025-10-06 14:34:47.026626
4727,17UMVuUgHsEnRC9mGw5JAKTbWHJpBNovS,Socials,application/vnd.google-apps.folder,0,2024-05-31 12:08:55.766,2024-05-31 12:08:55.766,https://drive.google.com/drive/folders/17UMVuUgHsEnRC9mGw5JAKTbWHJpBNovS,t,2025-10-06 14:34:47.026626
4728,1nKqU6jtsOX8-n6Ta_w-TgupjP_uGDiRN,Socials,application/vnd.google-apps.folder,0,2024-05-31 12:08:55.766,2024-05-31 12:08:55.766,https://drive.google.com/drive/folders/1nKqU6jtsOX8-n6Ta_w-TgupjP_uGDiRN,t,2025-10-06 14:34:47.026626
4729,11qthGHH8AazRj5XIKcbWxA-yDpAiMO72,Socials,application/vnd.google-apps.folder,0,2024-05-31 12:08:07.621,2024-05-31 12:08:07.621,https://drive.google.com/drive/folders/11qthGHH8AazRj5XIKcbWxA-yDpAiMO72,t,2025-10-06 14:34:47.026626
4730,1YLQQm_Xu7RpXSD2C5kj_ssrDyLsPAb7o,Socials,application/vnd.google-apps.folder,0,2024-05-31 12:08:07.621,2024-05-31 12:08:07.621,https://drive.google.com/drive/folders/1YLQQm_Xu7RpXSD2C5kj_ssrDyLsPAb7o,t,2025-10-06 14:34:47.026626
4731,1qbmyiECMGIsnzQj-Hg6gRONAz7otlvDA,Website,application/vnd.google-apps.folder,0,2024-05-31 12:07:19.5,2024-05-31 12:07:19.5,https://drive.google.com/drive/folders/1qbmyiECMGIsnzQj-Hg6gRONAz7otlvDA,t,2025-10-06 14:34:47.026626
4732,17KXUNG02xnk9IhVTecHLg9ljicVOfFuz,Socials,application/vnd.google-apps.folder,0,2024-05-31 12:07:11.952,2024-05-31 12:07:11.952,https://drive.google.com/drive/folders/17KXUNG02xnk9IhVTecHLg9ljicVOfFuz,t,2025-10-06 14:34:47.026626
4733,1N2sMnN6N4a1opYFugayhZc1JqpXtLBpz,Socials,application/vnd.google-apps.folder,0,2024-05-31 12:07:11.952,2024-05-31 12:07:11.952,https://drive.google.com/drive/folders/1N2sMnN6N4a1opYFugayhZc1JqpXtLBpz,t,2025-10-06 14:34:47.026626
